name,name_kr,bre_name,country,category,style,abv,image
Mosaic Bomb! IPA,,Made In PONG DANG,KR,ALE,American IPA,6.5,mosaicbomb.jpg
Pale Ale,맥파이 페일 에일,Magpie Brewing,KR,ALE,American Pale Ale (APA),4.8,mpaleale.png
Namsan Pure Pilsner,남산 필스너,Craftworks Taphouse,KR,ETC,Bohemian Pilsener,4.6,namsan.jpg
Netflix And Chill,집비어(집Beer),The Booth Brewing,KR,ALE,Irish Red Ale,5.4,ne.jpg
Nightwalk,밤마실,Weizenhaus,KR,ALE,Brown Ale,5,nightwalk.png
Normcore IPA,,Made In PONG DANG,KR,ALE,American IPA,5.8,normcore.jpg
IPO Not IPA,IPA 아니고 IPO,The Booth Brewing,KR,LAGER,Hoppy Lager,5.7,not.jpg
OB Golden Lager,,"Oriental Brewery Co., Ltd",KR,LAGER,European Pale Lager,4.5,OBgoldenlager.jpg
OB Premier Pilsner,오비 프리미어,"Oriental Brewery Co., Ltd",KR,PILSNER,German Pilsner,5.2,OBpremier.jpg
Ocean,,Gorilla Brewing Company,KR,ALE,India Pale Ale,5.7,ocean.jpg
Old Pals,동네친구,Magpie Brewing,KR,PILSNER,German Pilsner,5,oldpals.jpg
The One Beer,절대맥주,The Booth Brewing,KR,ALE,Hop Ale,6.2,one.jpg
One More Pils,,PYRUS Taproom & Bistro,KR,PILSNER,German Pilsner,4.8,onemorepils.png
Orangey,,The Hand and Malt Brewing Company,KR,STOUT,American Stout,4.7,orangey.jpg
O Seoul Irish Ale,오서울 브런치,The Booth Brewing,KR,ALE,Irish Red Ale,5.38,oseoul.jpg
Pride 50 Saison,프라이드50 세종,The Booth Brewing,KR,ETC,Saison,6.8,p50.jpg
Passionade,,Wild Waves Brewing,KR,ETC,Berliner Weisse,3.3,passionade.jpg
Blonde Ale,,Platinum Craft Beer,KR,ALE,Blonde Ale,4.7,pblonde.png
Pine City Saison,,Budnamu Brewery,KR,ETC,Belgian Saison,6.9,pcs.jpg
Perilla Leaf Saison,깻잎 한장 세종,The Hand and Malt Brewing Company,KR,ETC,Saison,6.1,perilla.jpg
Golden Ale,,Platinum Craft Beer,KR,ALE,Golden Ale,5,pgo.jpg
Pineapple Sour,,Gorilla Brewing Company,KR,ALE,Sour Ale,3.7,pgs.jpg
Pixie Juice,,Gorilla Brewing Company,KR,ETC,Sour,5.3,pj.jpg
Platinum Oatmeal Stout,,Platinum Craft Beer,KR,STOUT,Stout,4.5,pla.jpg
Porter,맥파이 포터,Magpie Brewing,KR,PORTER,American Porter,4.8,porter.png
Pale Ale,,Platinum Craft Beer,KR,ALE,American Pale Ale,5.2,pp.jpg
Tropical Pale Ale,,PYRUS Taproom & Bistro,KR,ALE,American Pale Ale (APA),4.5,ppaleale.jpg
Prime Max,맥스 프라임,Hite Brewery Company LTD,KR,LAGER,American Lager,4.5,primemax.jpg
Princess Weizen,공주밀맥주,Weizenhaus,KR,WEIZEN,Weizen,5,princess.png
Platinum Strong Pale Ale,,Platinum Craft Beer,KR,LAGER,Pale Lager,5.6,ps.jpg
Platinum White Ale,,Platinum Craft Beer,KR,ETC,Wheat Beer,5.5,pw.png
Pyeongchang,평창,Korea Craft Brewery,KR,ALE,White Ale,4.9,pyeng.png
Pyrus IPA,,PYRUS Taproom & Bistro,KR,ALE,American IPA,6.5,pyrusipa.png
Queen's Ale Blonde Type,,Hite Brewery Company LTD,KR,ALE,English Pale Ale,5.4,queensaleblonde.jpg
Queen's Ale Extra Bitter Type,,Hite Brewery Company LTD,KR,ETC,English Bitter,5.4,queensaleextra.jpg
Raspberry Lemon Wheat,,Magpie Brewing,KR,ETC,Fruit and Field Beer,4.3,raspberry.png
Red Devil RyePA,레드데빌 라이피에이,Galmegi Brewing,KR,ETC,Rye Beer,7,reddevil.jpg
Red Rock HipHoppy IPA,,"Oriental Brewery Co., Ltd",KR,ALE,American IPA,5,redrockhiphoppyipa.jpg
Red Rock Original,,"Oriental Brewery Co., Ltd",KR,LAGER,Red Lager,5,redrockoriginal.jpg
Red Rock Vinyl Stout,,"Oriental Brewery Co., Ltd",KR,STOUT,Stout,5.2,redrockvinylstout.jpg
R.I.P (Raspberry In Porter),,Gorilla Brewing Company,KR,PORTER,Porter,4.5,rip.jpg
Railroad Porter,,Wild Waves Brewing,KR,PORTER,Brown Porter,5,rrp.png
Rider's Session IPA,라이더스 세션 IPA,The Booth Brewing,KR,ALE,Session IPA,5.4,rs.jpg
Saison De Wang,세종대왕,Galmegi Brewing,KR,ETC,Belgian Saison,6,saison.jpg
Saison Black Rose,Saison 흑장미,The Four Seasons Craft Beer Pub,KR,ETC,Belgian Saison,5.8,saisonbr.jpg
Saison Forsythia,Saison 개나리,The Four Seasons Craft Beer Pub,KR,ETC,Belgian Saison,5.3,saisongn.jpg
Sangsang Pale Ale,상상 페일 에일,The Hand and Malt Brewing Company,KR,ALE,Pale Ale,5.7,sangsang.jpg
Seongsu-dong Pale Ale,성수동,Amazing Brewing Company,KR,ALE,American Pale Ale (APA),4.5,seong.png
Seoul Forest,서울숲,Amazing Brewing Company,KR,ALE,American Pale Ale (APA),5.3,seoul.jpg
Seorak Oatmeal Stout,설악 오트밀 스타우트,Craftworks Taphouse,KR,STOUT,English Oatmeal Stout,4.3,seroak.jpg
Spring Flower Ale,봄꽃 에일,The Booth Brewing,KR,ALE,Ale,4.8,sfa.jpg
Single Fin IPA,,Wild Waves Brewing,KR,ALE,West Coast IPA,7,sfi.jpg
Surfing High,,Wild Waves Brewing,KR,ALE,Summer Ale,4.7,sh.jpg
Shooting Star P.A,유성페일에일,Weizenhaus,KR,ALE,Pale Ale,5,shootingstar.jpg
Silk River,금강,Weizenhaus,KR,ALE,Golden Ale,4,silkriver.png
The Sinner,시너,Magpie Brewing,KR,ALE,Belgian Strong Pale Ale,9.1,sinner.png
Seoulite Hop Ale,서울라이트 홉에일,The Booth Brewing,KR,ALE,Hazy IPA,6.5,sl.jpg
Sleeper,슬리퍼,Magpie Brewing,KR,ETC,Belgian Quadrupel,11,sleeper.jpg
Slow IPA,,The Hand and Malt Brewing Company,KR,ALE,American IPA,4.6,Slow.jpg
Sofie,,Goose Island Beer Co.,US,ALE,Belgian Farm House Ale,6.5,sofie.png
Some & Some,,Korea Craft Brewery,KR,ALE,Brown Ale,4.5,some.png
Sonderberg,,"Oriental Brewery Co., Ltd",KR,LAGER,American Adjunct Lager,4.5,sonderberg.jpg
Sowon Pale Ale,소원 페일 에일,The Hand and Malt Brewing Company,KR,ALE,Pale Ale,4.5,sowon.jpg
Surelim Plus,,Wild Waves Brewing,KR,ALE,American Wild Ale,6,sp.png
Sunset Pale Ale,,Wild Waves Brewing,KR,ALE,American Pale Ale,5,spa.jpg
Spaten Miinchen,슈파텐,Spaten-Franziskaner-Brau,DE,ETC,German Helles,5.2,spaten.jpg
Shocking Stout,,Amazing Brewing Company,KR,STOUT,American Imperial Stout,8.5,ss.jpg
The Stakeholders,주주 블론드에일,The Booth Brewing,KR,ALE,Blonde Ale,5.2,sta.jpg
Standard of Ale,에일의 정석,Platinum Craft Beer,KR,ALE,Pale Ale,5.2,stan.jpg
Stella Artois,스텔라 아토이스,Stella Artois,BE,LAGER,European Pale Lager,5,StellaArtois.jpg
Strong Ale,강한 IPA,Platinum Craft Beer,KR,ALE,American IPA,6.5,str.jpg
Sichuan Gose,사천,Gorilla Brewing Company,KR,ETC,Gose,3.7,suchuan.jpeg
Sunday Morning,,Korea Craft Brewery,KR,ALE,Golden Ale,4.3,sundaymorning.png
Way Home Sunset,퇴근길 일몰,Platinum Craft Beer,KR,ALE,India Pale Ale,4.7,sunset.jpg
Sunshine IPA,,PYRUS Taproom & Bistro,KR,ALE,India Pale Ale,6.5,sunshine.jpg
Suntory The Premium Malt's,산토리 프리미엄,Suntory,JP,LAGER,Pilsner Lager,5.5,suntory.png
Surleim,설레임,Wild Waves Brewing,KR,ALE,American Wild Ale,5,surleim.jpg
Summer Zen Ale,썸머 젠 에일,The Booth Brewing,KR,ALE,Ale,6,sz.jpg
Thanksgiving Ale,한가위 에일,The Booth Brewing,KR,ALE,Belgian Blonde Ale,6,ta.jpg
Honey Brown,,Table Brewing Co.,KR,ALE,English Brown Ale,4.5,tablehoney.png
